time,close,fractal,gatorJaw,gatorTeeth,gatorLips,sma,smma
2020-01-02T00:00:00.000Z,10.16,0,10.16,10.16,10.16,10.16,10.16
2020-01-03T00:00:00.000Z,10.16,0,10.16,10.16,10.16,10.16,10.16
2020-01-06T00:00:00.000Z,10.18,0,10.18,10.18,10.18,10.18,10.18
2020-01-07T00:00:00.000Z,10.19,0,10.19,10.19,10.19,10.19,10.19
2020-01-08T00:00:00.000Z,10.24,1,10.24,10.24,10.24,10.24,10.24
2020-01-09T00:00:00.000Z,10.2,-1,10.2,10.2,10.2,10.2,10.2
2020-01-10T00:00:00.000Z,10.2,0,10.2,10.2,10.2,10.2,10.2
2020-01-13T00:00:00.000Z,10.2,0,10.2,10.2,10.18002,10.2,10.2
2020-01-14T00:00:00.000Z,10.2,0,10.2,10.2,10.19,10.192222222222222,10.2
2020-01-15T00:00:00.000Z,10.22,0,10.22,10.22,10.197999999999999,10.19888888888889,10.22
2020-01-16T00:00:00.000Z,10.25,1,10.25,10.25,10.203999999999999,10.20888888888889,10.25
2020-01-17T00:00:00.000Z,10.23,-1,10.23,10.23,10.204999999999998,10.214444444444446,10.23
2020-01-21T00:00:00.000Z,10.23,0,10.23,10.1881375,10.203999999999999,10.21888888888889,10.23
2020-01-22T00:00:00.000Z,10.26,1,10.26,10.19375,10.209999999999999,10.221111111111112,10.26
2020-01-23T00:00:00.000Z,10.26,0,10.26,10.200625,10.216,10.22777777777778,10.26
2020-01-24T00:00:00.000Z,10.25,0,10.25,10.20875,10.222,10.233333333333334,10.25
2020-01-27T00:00:00.000Z,10.2263,-1,10.2263,10.213125,10.231,10.236255555555555,10.2263
2020-01-28T00:00:00.000Z,10.23,0,10.23,10.214375,10.239999999999998,10.239588888888887,10.23
2020-01-29T00:00:00.000Z,10.23,0,10.23,10.219375000000001,10.243,10.2407,10.23
2020-01-30T00:00:00.000Z,10.23,0,10.23,10.226875000000001,10.24263,10.23847777777778,10.23
2020-01-31T00:00:00.000Z,10.23,0,10.20116153846154,10.233125000000001,10.24363,10.23847777777778,10.23
2020-02-03T00:00:00.000Z,10.24,0,10.208076923076923,10.236643749999999,10.24063,10.239588888888889,10.24
2020-02-04T00:00:00.000Z,10.26,1,10.215769230769231,10.239143749999998,10.237630000000001,10.23958888888889,10.26
2020-02-05T00:00:00.000Z,10.26,0,10.221923076923078,10.23851875,10.23363,10.23958888888889,10.26
2020-02-06T00:00:00.000Z,10.24,-1,10.22447307692308,10.24039375,10.238,10.238477777777778,10.24
2020-02-07T00:00:00.000Z,10.27,0,10.225626923076923,10.24039375,10.244499999999999,10.243333333333332,10.27
2020-02-10T00:00:00.000Z,10.27,0,10.22755,10.24101875,10.2506,10.247777777777777,10.27
2020-02-11T00:00:00.000Z,10.27,0,10.231011538461539,10.241956250000001,10.2546,10.252222222222223,10.27
